city,cnty,id,lat,lon,prov
南子岛,中国,CN101310230,11.26,114.20,海南
北京,中国,CN101010100,39.904000,116.391000,直辖市
海淀,中国,CN101010200,39.590000,116.170000,直辖市
朝阳,中国,CN101010300,39.570000,116.290000,直辖市
顺义,中国,CN101010400,40.147000,116.716000,直辖市
怀柔,中国,CN101010500,40.643000,116.581000,直辖市
通州,中国,CN101010600,39.550000,116.380000,直辖市
昌平,中国,CN101010700,40.206000,116.165000,直辖市
木兰,中国,CN101050113,46.252000,127.911000,黑龙江
齐齐哈尔,中国,CN101050201,47.343000,123.964000,黑龙江
讷河,中国,CN101050202,48.438000,125.145000,黑龙江
龙江,中国,CN101050203,47.197000,122.992000,黑龙江
甘南,中国,CN101050204,48.060000,123.687000,黑龙江
富裕,中国,CN101050205,47.480000,124.290000,黑龙江
依安,中国,CN101050206,47.540000,125.180000,黑龙江
拜泉,中国,CN101050207,47.588000,126.028000,黑龙江
克山,中国,CN101050208,48.204000,125.659000,黑龙江
克东,中国,CN101050209,47.997000,126.334000,黑龙江
泰来,中国,CN101050210,46.676000,123.496000,黑龙江
牡丹江,中国,CN101050301,44.579000,129.611000,黑龙江
海林,中国,CN101050302,44.908000,129.088000,黑龙江
穆棱,中国,CN101050303,44.475000,130.356000,黑龙江
林口,中国,CN101050304,45.315000,130.031000,黑龙江
绥芬河,中国,CN101050305,44.414000,131.081000,黑龙江
宁安,中国,CN101050306,44.200000,129.280000,黑龙江
东宁,中国,CN101050307,44.124000,130.813000,黑龙江
佳木斯,中国,CN101050401,46.796000,130.364000,黑龙江
汤原,中国,CN101050402,46.937000,130.237000,黑龙江
抚远,中国,CN101050403,47.938000,134.380000,黑龙江
桦川,中国,CN101050404,46.880000,130.667000,黑龙江
桦南,中国,CN101050405,46.283000,130.595000,黑龙江
同江,中国,CN101050406,47.390000,132.300000,黑龙江
富锦,中国,CN101050407,47.190000,132.433000,黑龙江
绥化,中国,CN101050501,46.632000,126.991000,黑龙江
肇东,中国,CN101050502,45.965000,125.839000,黑龙江
安达,中国,CN101050503,46.520000,125.393000,黑龙江
海伦,中国,CN101050504,47.416000,126.987000,黑龙江
明水,中国,CN101050505,47.198000,125.865000,黑龙江
望奎,中国,CN101050506,46.837000,126.575000,黑龙江
兰西,中国,CN101050507,46.150000,126.160000,黑龙江
青冈,中国,CN101050508,46.799000,125.844000,黑龙江
庆安,中国,CN101050509,46.530000,127.290000,黑龙江
绥棱,中国,CN101050510,47.571000,127.656000,黑龙江
黑河,中国,CN101050601,50.246000,127.488000,黑龙江
嫩江,中国,CN101050602,49.852000,125.782000,黑龙江
孙吴,中国,CN101050603,49.333000,127.334000,黑龙江
逊克,中国,CN101050604,49.350000,128.280000,黑龙江
五大连池,中国,CN101050605,48.725000,126.203000,黑龙江
北安,中国,CN101050606,48.170000,126.310000,黑龙江
大兴安岭,中国,CN101050701,51.898000,124.815000,黑龙江
塔河,中国,CN101050702,52.749000,124.569000,黑龙江
漠河,中国,CN101050703,52.903000,122.731000,黑龙江
呼玛,中国,CN101050704,51.898000,124.815000,黑龙江
呼中,中国,CN101050705,52.030000,123.400000,黑龙江
新林,中国,CN101050706,51.420000,124.200000,黑龙江
加格达奇,中国,CN101050708,50.400000,124.120000,黑龙江
伊春,中国,CN101050801,47.005000,128.283000,黑龙江
乌伊岭,中国,CN101050802,48.340000,129.260000,黑龙江
五营,中国,CN101050803,48.070000,129.150000,黑龙江
铁力,中国,CN101050804,46.968000,128.514000,黑龙江
嘉荫,中国,CN101050805,48.787000,129.965000,黑龙江
大庆,中国,CN101050901,46.593000,125.016000,黑龙江
林甸,中国,CN101050902,47.148000,124.818000,黑龙江
肇州,中国,CN101050903,45.899000,125.291000,黑龙江
肇源,中国,CN101050904,45.300000,125.050000,黑龙江
杜尔伯特,中国,CN101050905,46.830000,124.420000,黑龙江
七台河,中国,CN101051002,45.955000,130.855000,黑龙江
勃利,中国,CN101051003,45.750000,130.580000,黑龙江
鸡西,中国,CN101051101,45.282000,130.970000,黑龙江
虎林,中国,CN101051102,45.999000,133.042000,黑龙江
密山,中国,CN101051103,45.467000,132.190000,黑龙江
鸡东,中国,CN101051104,45.269000,131.182000,黑龙江
鹤岗,中国,CN101051201,47.326000,130.279000,黑龙江
绥滨,中国,CN101051202,47.459000,131.821000,黑龙江
萝北,中国,CN101051203,47.778000,130.853000,黑龙江
双鸭山,中国,CN101051301,46.629000,131.147000,黑龙江
集贤,中国,CN101051302,46.823000,131.145000,黑龙江
宝清,中国,CN101051303,46.342000,132.373000,黑龙江
饶河,中国,CN101051304,46.480000,134,黑龙江
友谊,中国,CN101051305,46.782000,131.800000,黑龙江
长春,中国,CN101060101,43.871000,125.324000,吉林
农安,中国,CN101060102,44.250000,125.100000,吉林
德惠,中国,CN101060103,43.758000,125.312000,吉林
九台,中国,CN101060104,44.184000,125.960000,吉林
榆树,中国,CN101060105,44.500000,126.320000,吉林
双阳,中国,CN101060106,43.600000,125.726000,吉林
吉林,中国,CN101060201,43.850000,126.567000,吉林
舒兰,中国,CN101060202,44.300000,127.077000,吉林
永吉,中国,CN101060203,43.420000,126.310000,吉林
蛟河,中国,CN101060204,43.681000,127.332000,吉林
磐石,中国,CN101060205,43.061000,126.156000,吉林
桦甸,中国,CN101060206,43.024000,127.001000,吉林
延吉,中国,CN101060301,42.907000,129.512000,吉林
敦化,中国,CN101060302,43.607000,128.340000,吉林
安图,中国,CN101060303,42.706000,128.490000,吉林
汪清,中国,CN101060304,43.580000,130.006000,吉林
和龙,中国,CN101060305,42.474000,128.894000,吉林
龙井,中国,CN101060307,42.886000,129.371000,吉林
珲春,中国,CN101060308,42.540000,130.170000,吉林
图们,中国,CN101060309,43.005000,129.762000,吉林
四平,中国,CN101060401,43.161000,124.365000,吉林
双辽,中国,CN101060402,43.732000,123.697000,吉林
梨树,中国,CN101060403,43.296000,124.321000,吉林
公主岭,中国,CN101060404,43.655000,124.978000,吉林
伊通,中国,CN101060405,43.210000,125.170000,吉林
通化,中国,CN101060501,41.721000,125.929000,吉林
梅河,中国,CN101060502,42.577000,125.851000,吉林
柳河,中国,CN101060503,42.236000,125.942000,吉林
胶州,中国,CN101120205,36.252000,119.925000,山东
黄岛,中国,CN101120206,35.863000,119.907000,山东
莱西,中国,CN101120207,36.855000,120.435000,山东
平度,中国,CN101120208,36.764000,119.919000,山东
淄博,中国,CN101120301,36.788000,118.050000,山东
淄川,中国,CN101120302,36.380000,117.570000,山东
博山,中国,CN101120303,36.310000,117.500000,山东
高青,中国,CN101120304,37.184000,117.808000,山东
周村,中国,CN101120305,36.490000,117.520000,山东
沂源,中国,CN101120306,36.160000,118.169000,山东
桓台,中国,CN101120307,36.979000,118.006000,山东
临淄,中国,CN101120308,36.500000,118.200000,山东
德州,中国,CN101120401,37.446000,116.279000,山东
武城,中国,CN101120402,37.213000,116.075000,山东
临邑,中国,CN101120403,37.110000,116.520000,山东
陵县,中国,CN101120404,37.200000,116.340000,山东
齐河,中国,CN101120405,36.715000,116.728000,山东
乐陵,中国,CN101120406,37.659000,117.134000,山东
庆云,中国,CN101120407,37.829000,117.450000,山东
平原,中国,CN101120408,37.090000,116.260000,山东
宁津,中国,CN101120409,37.602000,115.008000,山东
夏津,中国,CN101120410,36.550000,115.570000,山东
禹城,中国,CN101120411,36.560000,116.380000,山东
烟台,中国,CN101120501,37.543000,121.360000,山东
莱州,中国,CN101120502,37.231000,119.926000,山东
长岛,中国,CN101120503,37.923000,120.739000,山东
蓬莱,中国,CN101120504,37.624000,120.864000,山东
龙口,中国,CN101120505,37.609000,120.481000,山东
招远,中国,CN101120506,37.210000,120.230000,山东
栖霞,中国,CN101120507,37.180000,120.490000,山东
福山,中国,CN101120508,37.498000,121.268000,山东
牟平,中国,CN101120509,37.230000,121.350000,山东
莱阳,中国,CN101120510,36.871000,120.744000,山东
海阳,中国,CN101120511,36.878000,121.149000,山东
潍坊,中国,CN101120601,36.707000,119.094000,山东
青州,中国,CN101120602,36.674000,118.472000,山东
寿光,中国,CN101120603,37.015000,118.851000,山东
临朐,中国,CN101120604,36.341000,118.528000,山东
昌乐,中国,CN101120605,36.547000,118.948000,山东
昌邑,中国,CN101120606,36.779000,119.426000,山东
安丘,中国,CN101120607,36.362000,119.101000,山东
高密,中国,CN101120608,36.419000,119.719000,山东
诸城,中国,CN101120609,35.590000,119.250000,山东
济宁,中国,CN101120701,35.399000,116.580000,山东
嘉祥,中国,CN101120702,35.416000,116.306000,山东
微山,中国,CN101120703,34.896000,116.994000,山东
