city_code,date,aqi,co,no2,o3,pm10,pm25,qlty,so2,cond_txt,fl,hum,pcpn,pres,tmp,vis,wind_dir,wind_sc,wind_spd,sug_comf_brf,sug_cw_brf,sug_drsg_brf,sug_flu_brf,sug_sport_brf,sug_trav_brf,sug_uv_brf
CN101010600,2016-07-15,54,,,,53,54,良,,阴,25,83,0,1004,21,10,东北风,4-5,20,较舒适,不宜,舒适,较易发,较不宜,适宜,弱
CN101010700,2016-07-15,54,,,,53,54,良,,多云,25,80,0,1004,21,10,东南风,4-5,23,较舒适,不宜,热,少发,较不宜,适宜,弱
CN101010800,2016-07-15,54,,,,53,54,良,,阵雨,25,83,0,1004,19,10,东风,4-5,17,较舒适,不宜,舒适,少发,较不宜,适宜,弱
CN101010900,2016-07-15,54,,,,53,54,良,,阵雨,25,73,0,1004,24,10,东风,4-5,21,较舒适,不宜,热,少发,较不宜,适宜,弱
CN101011000,2016-07-15,54,,,,53,54,良,,阵雨,25,86,0.6,1004,21,10,北风,4-5,18,较舒适,不宜,热,少发,较不宜,适宜,弱
CN101011100,2016-07-15,54,,,,53,54,良,,阵雨,25,76,0,1004,22,10,东风,5-6,28,较舒适,不宜,热,少发,较不宜,适宜,弱
CN101011200,2016-07-15,54,,,,53,54,良,,阵雨,27,72,0,999,23,7,东风,4-5,17,较舒适,不宜,热,少发,较不宜,适宜,弱
CN101011300,2016-07-15,54,,,,53,54,良,,阵雨,25,81,0,1004,21,10,西北风,4-5,19,较舒适,不宜,舒适,较易发,较不宜,适宜,弱
CN101011400,2016-07-15,54,,,,53,54,良,,阵雨,25,78,0,1004,22,10,西北风,3-4,15,较舒适,不宜,热,少发,较不宜,适宜,弱
CN101011500,2016-07-15,54,,,,53,54,良,,多云,30,81,0,1003,22,9,北风,3-4,16,较舒适,不宜,舒适,较易发,较不宜,适宜,弱
CN101020100,2016-07-15,103,1,22,204,83,61,轻度污染,10,阵雨,42,58,0,998,35,10,东风,3-4,15,较不舒适,不宜,炎热,少发,较不宜,一般,弱
CN101020200,2016-07-15,103,,,,83,61,轻度污染,,阵雨,40,63,0,998,35,10,南风,4-5,19,较不舒适,不宜,炎热,少发,较不宜,一般,弱
CN101020300,2016-07-15,103,,,,83,61,轻度污染,,阵雨,40,54,0,998,35,10,西南风,5-6,30,较不舒适,不宜,炎热,少发,较不宜,一般,弱
CN101020500,2016-07-15,103,,,,83,61,轻度污染,,阵雨,39,60,0,998,34,10,西南风,4-5,19,较不舒适,不宜,炎热,少发,较不宜,一般,弱
CN101020600,2016-07-15,103,,,,83,61,轻度污染,,阵雨,41,61,0,998,35,10,西南风,4-5,21,较不舒适,不宜,炎热,少发,较不宜,一般,弱
CN101020700,2016-07-15,103,,,,83,61,轻度污染,,阵雨,40,62,0,998,34,10,西南风,5-6,32,较不舒适,不宜,炎热,少发,较不宜,一般,弱
CN101020800,2016-07-15,103,,,,83,61,轻度污染,,阵雨,41,57,0,998,35,10,西南风,4-5,24,较不舒适,不宜,炎热,少发,较不宜,一般,弱
CN101020900,2016-07-15,103,,,,83,61,轻度污染,,阵雨,42,56,0,998,35,10,西风,4-5,17,很不舒适,不宜,炎热,少发,较不宜,一般,弱
CN101021000,2016-07-15,103,,,,83,61,轻度污染,,阵雨,40,65,0,998,34,10,西南风,5-6,29,较不舒适,不宜,炎热,少发,较不宜,一般,弱
